cond,tau_lo,tau_hi,avg_hazard
C0u,0,100,0.0008260340510571573
C0u,100,250,0.0016353830571968675
C0u,250,500,0.0026463393948347055
C0u,500,750,0.0030798243094272894
C0u,750,1000,0.0032552237368162194
C0u,1000,1250,0.0029117908234889836
C0u,1250,1499,0.0029797983848867944
C0p,0,100,0.0017610324827479612
C0p,100,250,0.0019186603024321125
C0p,250,500,0.002790068333970934
C0p,500,750,0.003192901628414222
C0p,750,1000,0.0032674700951613074
C0p,1000,1250,0.003138221261372838
C0p,1250,1499,0.0032473390945756903
C2,0,100,0.0003812900998808754
C2,100,250,0.00026558301173867753
C2,250,500,5.269750826187791e-05
C2,500,750,9.185648862356177e-06
C2,750,1000,2.402444177093288e-06
C2,1000,1250,0.0
C2,1250,1499,0.0
C3,0,100,0.002173899212252659
C3,100,250,0.0004876320188911654
C3,250,500,8.249969712689343e-05
C3,500,750,9.986244942450595e-06
C3,750,1000,8.007208116902476e-07
C3,1000,1250,1.2105256344263626e-06
C3,1250,1499,0.0
